Comment,Designator,Footprint,LCSC Part Number
4.7u,C1,0805,C1779
0.1u,"C2, C3, C5, C8, C9, C10, C11, C15, C18, C21, C23, C24, C26, C27, C30",0805,C49678
10u,"C4, C6, C7, C16, C17, C19, C20, C25",0805,C15850
1u,"C12, C28, C29",0805,C28323
47n,"C13, C14",0805,C53134
1n,C22,0805,C46653
LED,D1,0603,C434420
1M,"R1, R3, R20, R29, R30",0805,C17514
1k,"R2,R4,R12, R13",0805,C17513
3M,"R5, R6",0805,C17662
56.2k,"R7, R8, R9, R10",0805,C104412
510,R11,0805,C17734
100k,"R14, R15",0805,C149504
10k,"R16, R17, R21, R22",0805,C17414
100,"R18, R19",0805,C17408
10,"R23, R24, R25, R26, R27, R28",0805,C17415
AD8237ARMZ,"U2, U3",MSOP-8,C578667
AD8606ARMZ-REEL,"U4, U5, U7, U8, U9, U11",MSOP-8,C459905
TCR2EF33,U6,TSOT-25,C843273
