Comment,Designator,Footprint,LCSC Part Number
4.7u,C1,805,C1779
0.1u,"C2, C3, C7, C8, C9, C10, C11, C15, C18, C21, C23, C24, C26, C27, C30",805,C49678
10u,"C4, C5, C6, C16, C17, C19, C20, C25",805,C15850
1u,"C12, C28, C29",805,C28323
47n,"C13, C14",805,C53134
1n,C22,805,C46653
1M,"R1, R3, R21, R30, R31",805,C17514
1k,"R2,R4,R12, R13",805,C17513
3M,"R5, R6",805,C17662
56.2k,"R7, R8, R9, R10",805,C104412
510,R11,805,C17734
100k,"R14, R15",805,C149504
10k,"R16, R17, R22, R23",805,C17414
100,"R18, R19",805,C17408
10,"R24, R25, R26, R27, R28, R29",805,C17415
